gameid,year,round,date,hometeam,awayteam,hometeamscoreft,awayteamscoreft,venue,attendance,maxtemp,mintemp,rainfall
2017R1104,2017,R11,2017-06-03,Greater Western Sydney,Essendon,18.9,15.11,Sydney Showground,13671.0,18.4,10.6,0.0
2017R1105,2017,R11,2017-06-03,North Melbourne,Richmond,9.12,14.17,Docklands,36100.0,14.7,8.1,1.0
2017R1106,2017,R11,2017-06-04,Fremantle,Collingwood,12.13,15.15,Subiaco,34259.0,22.2,12.1,0.0
2017R1201,2017,R12,2017-06-08,Sydney,Western Bulldogs,12.16,6.6,S.C.G.,20692.0,17.6,11.8,70.8
2017R1202,2017,R12,2017-06-09,Adelaide,St Kilda,16.15,7.12,Adelaide Oval,46082.0,15.0,5.9,0.0
2017R1203,2017,R12,2017-06-10,Hawthorn,Gold Coast,12.7,13.17,M.C.G.,27392.0,15.6,6.3,0.0
2017R1204,2017,R12,2017-06-10,Brisbane Lions,Fremantle,18.13,9.1,Gabba,11742.0,22.9,15.2,0.0
2017R1205,2017,R12,2017-06-10,Essendon,Port Adelaide,19.17,8.13,Docklands,34022.0,15.6,6.3,0.0
2017R1206,2017,R12,2017-06-11,Carlton,Greater Western Sydney,10.11,9.16,Docklands,23194.0,16.6,2.6,0.0
2017R1207,2017,R12,2017-06-12,Melbourne,Collingwood,15.14,15.1,M.C.G.,70926.0,16.6,7.1,0.0
2017R1301,2017,R13,2017-06-15,West Coast,Geelong,11.17,10.1,Subiaco,35719.0,19.6,10.9,0.0
2017R1302,2017,R13,2017-06-16,North Melbourne,St Kilda,10.12,12.17,Docklands,26107.0,16.9,4.4,0.0
2017R1303,2017,R13,2017-06-17,Richmond,Sydney,10.11,12.8,M.C.G.,58721.0,15.8,2.4,0.0
2017R1304,2017,R13,2017-06-17,Port Adelaide,Brisbane Lions,18.13,12.9,Adelaide Oval,31772.0,17.1,4.7,0.8
2017R1305,2017,R13,2017-06-17,Gold Coast,Carlton,11.7,12.11,Carrara,11936.0,22.8,17.7,1.8
2017R1306,2017,R13,2017-06-18,Western Bulldogs,Melbourne,8.8,17.11,Docklands,33667.0,16.0,6.3,0.0
2017R1401,2017,R14,2017-06-22,Adelaide,Hawthorn,12.1,14.12,Adelaide Oval,45312.0,18.9,4.9,0.0
2017R1402,2017,R14,2017-06-23,Sydney,Essendon,11.2,12.13,S.C.G.,34575.0,19.4,8.7,0.0
2017R1403,2017,R14,2017-06-24,Collingwood,Port Adelaide,9.8,13.15,M.C.G.,35933.0,12.7,6.7,1.2
2017R1404,2017,R14,2017-06-24,Brisbane Lions,Greater Western Sydney,12.14,22.14,Gabba,11455.0,24.5,10.4,0.0
2017R1405,2017,R14,2017-06-24,Western Bulldogs,North Melbourne,15.17,16.1,Docklands,28263.0,12.7,6.7,1.2
2017R1406,2017,R14,2017-06-24,West Coast,Melbourne,14.12,15.9,Subiaco,36622.0,18.2,11.5,0.0
2017R1407,2017,R14,2017-06-25,Geelong,Fremantle,10.14,11.6,Kardinia Park,29928.0,14.0,6.3,0.2
2017R1408,2017,R14,2017-06-25,Richmond,Carlton,11.18,8.1,M.C.G.,64448.0,13.5,6.7,0.2
2017R1409,2017,R14,2017-06-25,St Kilda,Gold Coast,14.19,10.12,Docklands,16844.0,13.5,6.7,0.2
2017R1501,2017,R15,2017-06-30,Melbourne,Sydney,7.8,11.19,M.C.G.,47464.0,12.0,4.7,5.6
2017R1502,2017,R15,2017-07-01,Western Bulldogs,West Coast,11.14,12.15,Docklands,29671.0,12.2,-2.0,0.2
2017R1503,2017,R15,2017-07-01,Carlton,Adelaide,12.5,13.11,M.C.G.,33433.0,12.2,-2.0,0.2
2017R1504,2017,R15,2017-07-01,Gold Coast,North Melbourne,18.1,14.15,Carrara,12779.0,19.1,11.2,2.26
